Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os12g41760	3.46E-64	0.326095053	0.558	0.168	1.36E-59	endodermis
LOC-Os08g04010	3.58E-64	0.380862637	0.604	0.193	1.40E-59	endodermis
LOC-Os02g33780	5.61E-64	0.792730258	0.772	0.362	2.20E-59	endodermis
LOC-Os05g474461	6.16E-64	0.625218724	0.947	0.657	2.42E-59	endodermis
LOC-Os01g73880	1.13E-63	0.394422509	0.586	0.192	4.41E-59	endodermis
LOC-Os05g28190	2.83E-63	0.282520067	0.491	0.13	1.11E-58	endodermis
LOC-Os09g20000	4.02E-63	0.273821137	0.256	0.042	1.58E-58	endodermis
LOC-Os02g01030	6.08E-63	0.27313852	0.435	0.106	2.38E-58	endodermis
LOC-Os12g37850	6.31E-62	0.269238069	0.453	0.118	2.48E-57	endodermis
LOC-Os04g06520	6.70E-62	0.750107854	0.498	0.147	2.63E-57	endodermis
LOC-Os06g49490	8.14E-62	0.65853039	0.909	0.68	3.19E-57	endodermis
LOC-Os02g10370	1.70E-61	0.586698307	0.916	0.647	6.67E-57	endodermis
LOC-Os01g707101	1.88E-61	0.656690249	0.547	0.165	7.36E-57	endodermis
LOC-Os03g36560	2.23E-61	0.485217837	0.284	0.052	8.74E-57	endodermis
LOC-Os05g11550	2.30E-61	0.252113592	0.404	0.098	9.02E-57	endodermis
LOC-Os11g31650	2.70E-61	0.327091181	0.533	0.158	1.06E-56	endodermis
LOC-Os04g02354	4.91E-61	0.60786442	0.733	0.337	1.92E-56	endodermis
LOC-Os03g330901	9.24E-61	0.423848373	0.575	0.178	3.63E-56	endodermis
LOC-Os01g55170	1.53E-60	0.45061266	0.54	0.171	6.00E-56	endodermis
LOC-Os06g06330	3.79E-60	0.401315077	0.642	0.23	1.49E-55	endodermis
LOC-Os06g46700	4.05E-60	0.495503589	0.804	0.394	1.59E-55	endodermis
LOC-Os09g26910	5.17E-60	0.323692966	0.33	0.069	2.03E-55	endodermis
